13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ime županije;Grad ili općina;"Ime grada ili
općine";Najčešća prezimena 1);;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10
Varaždinska;Općina;Mali Bukovec;KOVAČEK;GOLUBIĆ;POVIJAČ;ŠAFAREK;MARTINKOVIĆ;HORVAT;REPIĆ;GOLEC;ŠALAMON;MUŽIC
Varaždinska;Općina;Martijanec;HORVAT;VUK;KRUŠEC;JAGIĆ;POSAVEC;VRUČINA;HUZJAK;BENDELJA;KEŽMAN;ŠPOLJARIĆ
Varaždinska;Općina;Maruševec;PEHARDA;MARTINČEVIĆ;KORPAR;MOŽANIĆ;ŠTRLEK;LONČAR;VRBANEC;POSAVEC;BAHUN;CERJAN
Varaždinska;Općina;Petrijanec;ORŠOŠ;KALANJOŠ;KRANJČIĆ;ŠINCEK;KIŠIĆ;LESKOVAR;KOŠIĆ;JOVAN;HERCEG;HORVAT
Varaždinska;Općina;Sračinec;PLANTAK;LIBER;DROŽĐEK;KOVAČIĆ;LEVANIĆ;KRIŽANEC;CRNČEC;FLEGAR;ŠMIC;MIKO
Varaždinska;Općina;Sveti Đurđ;HORVAT;STANČIN;BAČANI;NOVAK;KRUŠELJ;BAHAT;SAČER;ŠTABI;KOVAČIĆ;KOVAČEK
Varaždinska;Općina;Sveti Ilija;BOSILJ;SOKOL;PTIČEK;CEPANEC;BLAŽI;MARTINEZ;KEFELJA;BARULEK;MIKIĆ;BANIĆ
Varaždinska;Općina;Trnovec Bartolovečki;SKUPNJAK;MIŠAK;VUGRINEC;TUĐAN;NOVAK;NOVOSEL;HRMAN;MAGIĆ;HORVAT;MIKULIĆ
Varaždinska;Općina;Veliki Bukovec;ŠTEFANEC;TRIPLAT;ZDELAR;IVANČIĆ;POVIJAČ;HRUPEC;SMONTARA;JAKOPČIN;VRBANIĆ;OREHOVEC
Varaždinska;Općina;Vidovec;POZDER;CAFUK;HOSNI;NOVAK;TEŽAK;MAŠIĆ;KOVAČIĆ;ZAGOREC;KOŠIĆ;GRĐAN
Varaždinska;Općina;Vinica;ŠIPEK;LAZAR;KOVAČIĆ;PAJTAK;LESKOVAR;PUNČEC;TOT;ŽMEGAČ;BOLTEK;KELEMEN
Varaždinska;Općina;Visoko;KUZMIĆ;HADROVIĆ;STRIČAK;MATEKOVIĆ;POMPER;BUKAL;HEGEDIĆ;HUZJAK;ŠKRPEC;PETRINJAK
Koprivničko-križevačka; ;;HORVAT;KOVAČIĆ;POSAVEC;KOVAČ;SOKAČ;LONČAR;GOLUBIĆ;KOLARIĆ;NOVAK;KOLAR
Koprivničko-križevačka;Grad;Đurđevac;HORVAT;FUČEK;PATAČKO;BOGDAN;ORŠUŠ;SELEŠ;KOLAR;KOVAČIĆ;ORŠOŠ;PLEŠKO
Koprivničko-križevačka;Grad;Koprivnica;HORVAT;KOVAČIĆ;POSAVEC;KOVAČ;GAŠPARIĆ;NOVAK;PINTARIĆ;LONČARIĆ;KOLAR;LONČAR
Koprivničko-križevačka;Grad;Križevci;HORVAT;SOKAČ;CRNČIĆ;ŠVAGELJ;STRUČIĆ;BABIĆ;VIŠAK;NOVOSEL;MEĐIMOREC;LUKAČIĆ
Koprivničko-križevačka;Općina;Drnje;KOVAČIĆ;KUZMIĆ;MATIJAŠIĆ;VAROVIĆ;ORŠUŠ;ŠTEFANEC;FONJAK;MIKULEC;DOMBAJ;HORVAT
Koprivničko-križevačka;Općina;Đelekovec;KADIJA;VULJAK;LONČAR;CMRK;HORVAT;FIČKO;FRIŠČIĆ;ĐURETA;SABOL;POSAVEC
Koprivničko-križevačka;Općina;Ferdinandovac;FUČEK;MALETIĆ;HRVOIĆ;TOMAŠEK;IVANDIJA;MEĐUREČAN;PATAČKO;PLEŠKO;TURBELIJA;ŠČUKA
Koprivničko-križevačka;Općina;Gola;BOGADI;HORVAT;MEHKEK;PREMEC;ŠIMEG;ŠESTAK;HALAVUK;GRČIĆ;SINJERI;ZLATAR
Koprivničko-križevačka;Općina;Gornja Rijeka;HORVAT;ĐURINIĆ;KOS;NEMČIĆ;ZIDARIĆ;BEREND;ORAK;HASANEC;SRBLJINOVIĆ;ŠATVAR
Koprivničko-križevačka;Općina;Hlebine;HORVAT;RITOŠA;BELEC;DOLENEC;IMBRIOVČAN;MEĐIMOREC;SENKOVIĆ;KOLAREK;KOLARIĆ;TALAN
Koprivničko-križevačka;Općina;Kalinovac;SOBOTA;DAUTANEC;GOLUBIĆ;MIKLIĆ;JANKOVIĆ;MATICA;ZVONAR;LACKOVIĆ;ŠOKEC;AURER
Koprivničko-križevačka;Općina;Kalnik;SOKAČ;RADIĆ;KORETIĆ;CAR;ĐUREC;NEMEC;MARKOVIĆ;RADIČEK;DENŽIĆ;GOLUB
Koprivničko-križevačka;Općina;Kloštar Podravski;RADELIĆ;IVANOVIĆ;HORVAT;JELUŠIĆ;BAN;BUGARINOVIĆ;DOMOVIĆ;KOVAČIĆ;GOLUBIĆ;BELEC
Koprivničko-križevačka;Općina;Koprivnički Bregi;HORVAT;KOVAČ;PEROKOVIĆ;GAŠPARIĆ;KRAPINEC;MIJATOVIĆ;PRVČIĆ;BLAŽEKOVIĆ;GORIČANEC;TUŠEK
Koprivničko-križevačka;Općina;Koprivnički Ivanec;JAKUPIĆ;VRABELJ;LONČAR;KOVAČ;BEBEK;MEDVARIĆ;ČEVIS;BESTEN;HORVAT;SALAJEC
Koprivničko-križevačka;Općina;Legrad;HORVAT;CVETNIĆ;POSAVEC;ŽIVKO;KUČAN;MEĐIMOREC;VARGA;JAZVEC;BOGDAN;GABAJ
Koprivničko-križevačka;Općina;Molve;IVANČAN;ŽUFIKA;CENKOVČAN;JAKOVIĆ;KOPRIČANEC;GAZDEK;VINCEK;HONTIĆ;KRZNARIĆ;KOLARIĆ
Koprivničko-križevačka;Općina;Novigrad Podravski;ŠIMUNIĆ;TRNSKI;VEDRIŠ;MIHOKOVIĆ;POSAVEC;BALOG;ŠESTAK;KOVAČ;ORŠUŠ;PETRAS
Koprivničko-križevačka;Općina;Novo Virje;VRANIĆ;CIK;ŽIVKO;MARKOV;TURČIĆ;LUKANEC;HRŽENJAK;MESAROV;BABEC;CAREK
Koprivničko-križevačka;Općina;Peteranec;ORŠOŠ;BLAŽEK;HORVAT;BALOG;GAŽI;BETLEHEM;BARČANEC;MAJDAK;BLAŽOTIĆ;GOLUBIĆ
Koprivničko-križevačka;Općina;Podravske Sesvete;TUDIĆ;DEREŽIĆ;ŠERBEĐIJA;POSAVEC;BRATANOVIĆ;REP;VLAŠIĆ;KARŠIĆ;KOVAČIĆ;CUGOVČAN
Koprivničko-križevačka;Općina;Rasinja;HORVAT;ĐURAŠEVIĆ;KOVAČIĆ;MIKULINJAK;HERAK;GRUBAČEVIĆ;MILOŠEVIĆ;SMOLJANOVIĆ;ZRINSKI;GOJKOVIĆ
Koprivničko-križevačka;Općina;Sokolovac;HORVAT;RAJN;KRNJAK;JAKRLIN;HANŽEKOVIĆ;JELAK;KOLARIĆ;KNAPIĆ;SMILJANOVIĆ;JUG
Koprivničko-križevačka;Općina;Sveti Ivan Žabno;MEDAČ;KOŠČEVIĆ;LOVREKOVIĆ;MAKSIĆ;KOVAČEVIĆ;FERENČINA;KOLARIĆ;GAŠI;HABIJANEC;LALIĆ
Koprivničko-križevačka;Općina;Sveti Petar Orehovec;HORVAT;MIKLEČIĆ;MARENČIĆ;BLAGAJ;KUŠEC;VIŠAK;POLJAK;BENČAK;MIKEC;MEKOVEC
Koprivničko-križevačka;Općina;Virje;HORVAT;HRŽENJAK;LJUBIĆ;CIK;POSAVEC;LUKIĆ;ŠIGNJAR;GRIVIĆ;MESAROV;MARČINKO
Bjelovarsko-bilogorska; ;;HORVAT;KOVAČEVIĆ;GRGIĆ;JOZIĆ;KOVAČ;MATIĆ;TOMIĆ;KOVAČIĆ;JAKOVIĆ;JURIĆ
Bjelovarsko-bilogorska;Grad;Bjelovar;HORVAT;JOZIĆ;KOVAČEVIĆ;ĆURIĆ;KOVAČ;KOZIĆ;ĐURĐEVIĆ;KOVAČIĆ;JURIĆ;JANKOVIĆ
Bjelovarsko-bilogorska;Grad;Čazma;KUPSJAK;KOVAČEVIĆ;BRADIĆ;BLAŽEKOVIĆ;RAVLIĆ;SALAJ;PAVLOVIĆ;PIRŠLJIN;VINCEKOVIĆ;VUKOVIĆ
Bjelovarsko-bilogorska;Grad;Daruvar;HORVAT;KOVAČIĆ;KOVAČEVIĆ;HORAK;ŠEPL;MARIĆ;POLENUS;ZEC;MARKOVIĆ;LUKIĆ
Bjelovarsko-bilogorska;Grad;Garešnica;HORVAT;RIJETKOVIĆ;POPOVIĆ;ŠAJNOVIĆ;UGARKOVIĆ;BOSANAC;JOVANOVIĆ;PETROVIĆ;MLINARIĆ;TUTIĆ
Bjelovarsko-bilogorska;Grad;Grubišno Polje;HORVAT;HORAK;FRANTAL;KALANJOŠ;BUKOVAC;HARAUZEK;MATKOVIĆ;TUČEK;GLOC;DIMAČ
Bjelovarsko-bilogorska;Općina;Berek;MODRIĆ;ABRAMOVIĆ;ŠENIJA;GOLEŠ;HERCEG;BUGARINOVIĆ;BERIŠA;ROGIĆ;FRŽIĆ;MIKULIĆ
Bjelovarsko-bilogorska;Općina;Dežanovac;ILINOVIĆ;GRGIĆ;PEJAZIĆ;BLIZNAC;BOROJEVIĆ;PIHIR;DOLEŽAL;BATKOVIĆ;MARIĆ;VALEČIĆ
Bjelovarsko-bilogorska;Općina;Đulovac;JAKOVIĆ;MATIĆ;TOMIĆ;JOZIĆ;TUNIĆ;GEGIĆ;IVIĆ;NIKOLIĆ;KOLIĆ;ĐORĐEVIĆ
Bjelovarsko-bilogorska;Općina;Hercegovac;MIHALIĆ;JURČIĆ;CINDRIĆ;JURČEVIĆ;HORVAT;VALENTIĆ;BOSANAC;OBROVAC;MARINKOVIĆ;STEPIĆ
Bjelovarsko-bilogorska;Općina;Ivanska;KRIŽAN;CINDRIĆ;TARITAŠ;JAMBRUŠIĆ;MEDVED;BARIĆ;VALENTIĆ;ĐURIČIĆ;JUKIĆ;MAJCAN
Bjelovarsko-bilogorska;Općina;Kapela;KOVAČ;GEGIĆ;HORVAT;MATIĆ;MIROSAVLJEVIĆ;SREBRENOVIĆ;MIHALINEC;BLAŽEKOVIĆ;CINDRIĆ;CRNJAK
Bjelovarsko-bilogorska;Općina;Končanica;HEROUT;KLIGL;MIJATOVIĆ;BARTOŠ;FINEK;TOMAŠEK;LUKAŠ;LIBER;KOČI;MATINA
Bjelovarsko-bilogorska;Općina;Nova Rača;JUKIĆ;ŽABJAČAN;VALENTIĆ;HANŽEVAČKI;VLAHOVIĆ;BENGEZ;MARKAJ;GRGIĆ;MATKOVIĆ;IVANČIĆ
Bjelovarsko-bilogorska;Općina;Rovišće;JOZIĆ;JAKOVIĆ;DOMINKOVIĆ;FILIĆ;GEGIĆ;GRGIĆ;MATIĆ;TOMIĆ;TUNIĆ;KOVAČEVIĆ
Bjelovarsko-bilogorska;Općina;Severin;JAKOPOVIĆ;KOVAČ;KOVAČIĆ;MITROVIĆ;KESER;KOS;POSAVAC;ŠEREPEC;GAŠPAROVIĆ;MOROSAVLJEVIĆ
Bjelovarsko-bilogorska;Općina;Sirač;PLAŽANIN;KARLOVIĆ;ŽUGER;GRGIĆ;PETRAN;SUPAN;RENDIĆ;CRNKOVIĆ;KOVAČEVIĆ;VUJIĆ
Bjelovarsko-bilogorska;Općina;Šandrovac;RADELIĆ;STOJČEVIĆ;KRASNIĆ;DEKALIĆ;BEDEKOVIĆ;PEREC;DOMITROVIĆ;ZDELAR;GAŠPARAC;MALVIĆ
Bjelovarsko-bilogorska;Općina;Štefanje;ŠTEFOVIĆ;FORJAN;DONČEVIĆ;IVANOVIĆ;JEŽIĆ;HRLIĆ;NOVAKOVIĆ;BOŽIĆ;MAJUREC;FILIPOVIĆ
Bjelovarsko-bilogorska;Općina;Velika Pisanica;KOVAČ;JURIŠIĆ;FILIPOVIĆ;BUČAJ;GELENČIR;PRENKAJ;BUDROVČAN;BRNJAKOVIĆ;HORVAT;IVANOVIĆ
Bjelovarsko-bilogorska;Općina;Velika Trnovitica;ČUKMAN;PLANTEK;BOGDAN;PAVLEK;SKENDER;VARGA;KLIMEŠ;KOSAR;ŠIPRAK;ARŽEK
Bjelovarsko-bilogorska;Općina;Veliki Grđevac;BENIĆ;KOMLJENOVIĆ;PAVIĆ;ŠENOLT;KIRIN;STANKIĆ;PAVLEČIĆ;MATIĆ;PEHAČEK;UĐBINAC
Bjelovarsko-bilogorska;Općina;Veliko Trojstvo;KOVAČ;BAČAK;ŠABIĆ;FILIPAN;SABOLOVIĆ;JURIĆ;GRBAČIĆ;MATIJEVIĆ;KRANŽELIĆ;ŽIVODER
Bjelovarsko-bilogorska;Općina;Zrinski Topolovac;KOVAČEVIĆ;MUŽINA;SUDAŠ;KRANJEC;ŠOSTARIC;SMRČEK;BLAŽEKOVIĆ;ĆIBARIĆ;TURČIĆ;ŠKROBOT
Primorsko-goranska; ;;BABIĆ;TOMIĆ;KOVAČEVIĆ;PETROVIĆ;ŠTIMAC;KNEŽEVIĆ;RUŽIĆ;GRGURIĆ;MALNAR;JOVANOVIĆ
Primorsko-goranska;Grad;Bakar;MIČETIĆ;POLIĆ;RUŽIĆ;CUCULIĆ;FRANČIŠKOVIĆ;KRUŽIĆ;PAVLETIĆ;VIDAS;ŠUBAT;BABIĆ
Primorsko-goranska;Grad;Cres;KUČIĆ;TOIĆ;MUŽIĆ;SAGANIĆ;KUČICA;VELČIĆ;SURDIĆ;DEŽELIĆ;FILIPAS;SABLIĆ
Primorsko-goranska;Grad;Crikvenica;CAR;ANTIĆ;LONČARIĆ;DOMIJAN;MANESTAR;GRBČIĆ;JELIČIĆ;JURIĆ;MATEJČIĆ;GAŠPAROVIĆ
Primorsko-goranska;Grad;Čabar;MALNAR;ŽAGAR;TURK;KOVAČ;OŽBOLT;JANEŠ;VOLF;LIPOVAC;KLEPAC;ŠTIMAC
Primorsko-goranska;Grad;Delnice;ŠTIMAC;PLEŠE;MAJNARIĆ;TOMAC;MIHELČIĆ;GAŠPARAC;KEZELE;RAČKI;MALNAR;ABRAMOVIĆ
Primorsko-goranska;Grad;Kastav;RUBEŠA;BABIĆ;JURČIĆ;DUKIĆ;GRBAC;FRLAN;JARDAS;JELOVICA;MILIH;ĆIKOVIĆ
Primorsko-goranska;Grad;Kraljevica;TURINA;GRUBIŠIĆ;BURIĆ;ČANDRLIĆ;JURETIĆ;DEVČIĆ;POLIĆ;KUČAN;PERANIĆ;GUDAC
Primorsko-goranska;Grad;Krk;KOSIĆ;ŽUŽIĆ;MRAKOVČIĆ;BAJČIĆ;DEPIKOLOZVANE;JUREŠIĆ;MRŠIĆ;BRUSIĆ;ŽIC;PRENDIVOJ
Primorsko-goranska;Grad;Mali Lošinj;KUČIĆ;MUŽIĆ;NIKOLIĆ;MUŠKARDIN;SAGANIĆ;TOIĆ;PICINIĆ;ABDIJA;DUMENČIĆ;KOMADINA
Primorsko-goranska;Grad;Novi Vinodolski;JOVANOVIĆ;BUTKOVIĆ;MATAIJA;TOMIĆ;BUTORAC;CVITKOVIĆ;RUBČIĆ;BARIČEVIĆ;KOMADINA;BUNETA
Primorsko-goranska;Grad;Opatija;ANIČIĆ;KINKELA;PUŽ;KORIĆ;RUMAC;ŽIGULIĆ;SUŠANJ;BRUMNJAK;HLANUDA;SLAVIĆ
Primorsko-goranska;Grad;Rab;DEBELIĆ;VIDAS;BEG;RIBARIĆ;MATUŠAN;PAHLJINA;ŠPANJOL;KORDIĆ;KAŠTELAN;ŠIMIČIĆ
Primorsko-goranska;Grad;Rijeka;BABIĆ;KOVAČEVIĆ;KNEŽEVIĆ;PETROVIĆ;TOMIĆ;VUKELIĆ;FUĆAK;MARIĆ;MARKOVIĆ;FILIPOVIĆ
Primorsko-goranska;Grad;Vrbovsko;MAMULA;TRBOVIĆ;VUJNOVIĆ;KOSANOVIĆ;VUČINIĆ;BOŽIĆ;MRVOŠ;JAKŠIĆ;VRBANAC;ŠTEFANAC
Primorsko-goranska;Općina;Baška;SERŠIĆ;DUJMOVIĆ;DORČIĆ;ČUBRANIĆ;BARBALIĆ;HRABRIĆ;ŠTEFANIĆ;DERENČINOVIĆ;TOMAŠIĆ;JURANIĆ
Primorsko-goranska;Općina;Brod Moravice;JURKOVIĆ;CRNKOVIĆ;BRAJDIĆ;HUDOROVIĆ;JAKOVAC;DELAČ;KRULJAC;RAČKI;GRGURIĆ;KVATERNIK
Primorsko-goranska;Općina;Čavle;ČARGONJA;ŽEŽELIĆ;PERUŠIĆ;MAVRINAC;LINIĆ;FUĆAK;MICULINIĆ;ZAHARIJA;MOHORIĆ;HLAČA
Primorsko-goranska;Općina;Dobrinj;GRŽETIĆ;KIRINČIĆ;CRNČIĆ;JUSTINIĆ;DUNATO;JELENOVIĆ;PAVAČIĆ;GRDINIĆ;BRUSIĆ;ŠAMANIĆ
Primorsko-goranska;Općina;Fužine;STARČEVIĆ;KAUZLARIĆ;RADOŠEVIĆ;KOVAČEVIĆ;MIHALJEVIĆ;VLAHOVIĆ;BUDISELIĆ;MILOŠ;ČEBUHAR;MILOŠEVIĆ
Primorsko-goranska;Općina;Jelenje;JURETIĆ;BAN;KUKULJAN;PETROVIĆ;MARŠANIĆ;ZORETIĆ;RELJAC;ZAHARIJA;KLIĆ;RADETIĆ
Primorsko-goranska;Općina;Klana;RASPOR;GRŽINČIĆ;SIMČIĆ;ŠEBELJA;LAGINJA;VALENČIĆ;ISKRA;MEDVEDIĆ;MRVČIĆ;BARAK
Primorsko-goranska;Općina;Kostrena;VUKUŠIĆ;VRANIĆ;GLAŽAR;DUNDOVIĆ;PEROVIĆ;BABIĆ;DEVČIĆ;BARIČEVIĆ;DUJMIĆ;MIŠKULIN
Primorsko-goranska;Općina;Lokve;ČOP;MIHELČIĆ;BOLF;GRGURIĆ;ŠTIMAC;MALNAR;ŠTIGLIĆ;JAKOVAC;PETELIN;PLEŠE
Primorsko-goranska;Općina;Lopar;MATAHLIJA;PAPARIĆ;ŠKARIĆ;PEĆARINA;IVČE;ANDREŠKIĆ;PIČULJAN;JAKUC;BORIĆ;IVANIĆ
Primorsko-goranska;Općina;Lovran;KRŠANAC;RUBINIĆ;SIROTNJAK;MIHALIĆ;GRŽIN;LAZARIĆ;KOŽUL;BRUBNJAK;MARTINČIĆ;NEGRIĆ
Primorsko-goranska;Općina;Malinska-Dubašnica;BOGOVIĆ;DUJMOVIĆ;KRALJIĆ;MILČETIĆ;TURČIĆ;HRŽIĆ;KIRINČIĆ;BARBIŠ;ŽGOMBIĆ;ŽUŽIĆ
Primorsko-goranska;Općina;Matulji;KINKELA;STANIĆ;SUŠANJ;SIMČIĆ;RUŽIĆ;ŠEPIĆ;SLAVIĆ;PUŽ;SANKOVIĆ;TURKOVIĆ
Primorsko-goranska;Općina;Mošćenička Draga;RUBINIĆ;GALOVIĆ;BARKOVIĆ;ŠKALAMERA;BRADIČIĆ;LAZARIĆ;BRUBNJAK;DETAN;FRANKOVIĆ;MARKOVIĆ
Primorsko-goranska;Općina;Mrkopalj;TOMIĆ;JAKOVAC;CRNIĆ;GRGURIĆ;STARČEVIĆ;FAK;TADEJEVIĆ;ŠPORER;BROZOVIĆ;RADOŠEVIĆ
Primorsko-goranska;Općina;Omišalj;KRALJIĆ;ILIJIĆ;HUDOROVIĆ;JAKOMINIĆ;KIRINČIĆ;ŽUVIĆ;BRUSIĆ;SPICIJARIĆ;VIDOVIĆ;KATAVA
Primorsko-goranska;Općina;Punat;ŽIC;ORLIĆ;MRAKOVČIĆ;KARABAIĆ;BONIFAČIĆ;FRANOLIĆ;SINDIČIĆ;MARAČIĆ;BRUSIĆ;GALJANIĆ
Primorsko-goranska;Općina;Ravna Gora;GRGURIĆ;SVETLIČIĆ;JANEŠ;TROHA;BURIĆ;JAKOVAC;MANCE;PODOBNIK;LIKER;PLEŠE
Primorsko-goranska;Općina;Skrad;GRGURIĆ;CRNKOVIĆ;MANCE;JURKOVIĆ;ŠTIMAC;BELJAN;RAČKI;ABRAMOVIĆ;PODNAR;ŽAGAR
Primorsko-goranska;Općina;Vinodolska općina;ANTONIĆ;BARAC;GAŠPAROVIĆ;TONKOVIĆ;KLARIĆ;JERČINOVIĆ;SPOJA;KNEZ;KRŠUL;TUS
Primorsko-goranska;Općina;Viškovo;BABIĆ;LUČIĆ;MLADENIĆ;SUŠANJ;MARČELJA;KNEŽEVIĆ;KOVAČEVIĆ;ŠIROLA;MARIĆ;FILIPOVIĆ
Primorsko-goranska;Općina;Vrbnik;VOLARIĆ;POLONIJO;TOLJANIĆ;BRUSIĆ;JUSTIĆ;PAVAN;GRŠKOVIĆ;DMINIĆ;ČUBRANIĆ;VALKOVIĆ
Ličko-senjska; ;;RUKAVINA;PRPIĆ;OREŠKOVIĆ;TOMLJANOVIĆ;VUKELIĆ;DEVČIĆ;NEKIĆ;JURKOVIĆ;KOSTELAC;MARKOVIĆ
Ličko-senjska;Grad;Gospić;RUKAVINA;STARČEVIĆ;BRKLJAČIĆ;STILINOVIĆ;ĆAĆIĆ;DOŠEN;MARKOVIĆ;RADOŠEVIĆ;MILINKOVIĆ;ŽUPAN
Ličko-senjska;Grad;Novalja;ŠKUNCA;DABO;PERANIĆ;ZUBOVIĆ;VIDAS;BADURINA;KUSTIĆ;ŠULJIĆ;DATKOVIĆ;ŠANKO
Ličko-senjska;Grad;Otočac;OREŠKOVIĆ;KOSTELAC;MATASIĆ;TONKOVIĆ;JURKOVIĆ;DUJMOVIĆ;CVITKOVIĆ;BURIĆ;BRAJKOVIĆ;MARKOVIĆ
Ličko-senjska;Grad;Senj;TOMLJANOVIĆ;PRPIĆ;NEKIĆ;BIONDIĆ;VUKELIĆ;KRMPOTIĆ;DEVČIĆ;SAMARŽIJA;LOPAC;BABIĆ
Ličko-senjska;Općina;Brinje;PERKOVIĆ;MESIĆ;KRZNARIĆ;BORIĆ;SERTIĆ;VRANIĆ;PAVLOVIĆ;VUKOVIĆ;RAJKOVIĆ;DRAŽENOVIĆ
Ličko-senjska;Općina;Donji Lapac;MEDIĆ;RAŠETA;POPOVIĆ;ĐUKIĆ;REPAC;BALAĆ;OBRADOVIĆ;BAJIĆ;OPAČIĆ;BUBALO
Ličko-senjska;Općina;Karlobag;VRBAN;BAČIĆ;TOMLJENOVIĆ;VUKIĆ;DEVČIĆ;SMOJVER;ŠIKIĆ;MILETIĆ;DOŠEN;PAVIČIĆ
Ličko-senjska;Općina;Lovinac;KRPAN;PAVELIĆ;BRAJKOVIĆ;PAVIČIĆ;MILETIĆ;SEKULIĆ;TOMIČIĆ;ŽUPAN;RAČIĆ;VRKLJAN
Ličko-senjska;Općina;Perušić;HEĆIMOVIĆ;RUKAVINA;MILKOVIĆ;JURKOVIĆ;MURGIĆ;DASOVIĆ;KLOBUČAR;VUKELIĆ;ŠPOLJARIĆ;JURIŠIĆ
Ličko-senjska;Općina;Plitvička Jezera;BIĆANIĆ;DRAKULIĆ;VUKOVIĆ;PRICA;LUKETIĆ;ŽIGIĆ;HODAK;MATOVINA;ŠPEHAR;ŠPOLJARIĆ
Ličko-senjska;Općina;Udbina;VUKOBRATOVIĆ;RADOČAJ;UZELAC;CVJETIĆANIN;PERKOVIĆ;MOMČILOVIĆ;BASTA;RADAKOVIĆ;KNEŽEVIĆ;MARIĆ
Ličko-senjska;Općina;Vrhovine;HINIĆ;ČUDIĆ;DELIĆ;VUKMIROVIĆ;BOGDANOVIĆ;IVANČEVIĆ;UZELAC;BRAKUS;BIGA;STOJANOVIĆ
Virovitičko-podravska; ;;HORVAT;KOVAČ;KOVAČEVIĆ;ŠPOLJARIĆ;BLAŽEVIĆ;VUKOVIĆ;IVANOVIĆ;MOSLAVAC;KNEŽEVIĆ;BOŠNJAK
Virovitičko-podravska;Grad;Orahovica;POLJAK;BOLJKOVAC;MANDIĆ;KOVAČ;VULIĆ;NEKIĆ;JURLINA;MATEK;PERKOVIĆ;MARIČIĆ
Virovitičko-podravska;Grad;Slatina;MEDVED;HORVAT;KOKORIĆ;JUKIĆ;GRAHOVAC;KOVAČEVIĆ;KOVAČ;KLEMENT;RADOČAJ;MIKIĆ
Virovitičko-podravska;Grad;Virovitica;HORVAT;KOVAČEVIĆ;KOVAČ;MOSLAVAC;BLAŽEVIĆ;BIONDIĆ;VUKOVIĆ;PETROVIĆ;TOMLJANOVIĆ;ĐURĐEVIĆ
Virovitičko-podravska;Općina;Crnac;ŠPOLJARIĆ;BOŠNJAK;GRGURIĆ;SUDARIĆ;MAJETIĆ;GOLIK;VIDA;BAČMAGA;PLEŠA;BURCAR
Virovitičko-podravska;Općina;Čačinci;BUŠLJETA;JURLINA;SAMARDŽIĆ;ZUANOVIĆ;JUKIĆ;FARKAŠ;KRMPOTIĆ;ČAVIĆ;ERCEG;ZUBČIĆ
Virovitičko-podravska;Općina;Čađavica;KOKORIĆ;BUČANAC;MAĐAREVIĆ;HORVAT;MARTINČEVIĆ;LAZIĆ;MATIĆ;BOSAK;DOLINAC;KOVAČ
Virovitičko-podravska;Općina;Gradina;VILJEVAC;MOSLAVAC;RAJNOVIĆ;LUKAČEVIĆ;JURIŠIĆ;BROĐANAC;ŠPOLJARIĆ;MANDIĆ;PEIĆ;RADIĆ
Virovitičko-podravska;Općina;Lukač;BUKVIĆ;RIBIĆ;ŽIVKOVIĆ;PERIĆ;PETROVIĆ;BLAŽEVIĆ;IVOŠ;FEKETIJA;KNEŽEVIĆ;KRŠIĆ
Virovitičko-podravska;Općina;Mikleuš;BLAŽEVIĆ;TONC;PEJIĆ;KOKOŠKA;BALTIĆ;BILOBRK;LUKIĆ;DUNDOVIĆ;MIKLIĆ;RUKAVINA
Virovitičko-podravska;Općina;Nova Bukovica;BRAČUN;ŠKRNIČKI;DOLOVSKI;DORČAK;ĆOSIĆ;ŠTERL;KOLEMBUS;BILAVČIĆ;TEREK;ĐURIČIĆ
Virovitičko-podravska;Općina;Pitomača;IVANOVIĆ;RADELIĆ;BEGOVIĆ;KOVAČ;ŠAJN;JAKUPEC;ŠPOLJARIĆ;BEDEKOVIĆ;ĐANIĆ;MIHOKOVIĆ
Virovitičko-podravska;Općina;Sopje;RASTIJA;DVOJAK;MIKIĆ;TUŠEK;GRGIĆ;BOŠNJAK;KOKORIĆ;HRGETIĆ;MARIĆ;ANDROŠ
Virovitičko-podravska;Općina;Suhopolje;HORVAT;VUKOVIĆ;HODAK;KOVAČEVIĆ;MATOVINA;NEMET;SERTIĆ;NOVOSEL;HOLEC;BOŠNJAK
Virovitičko-podravska;Općina;Špišić Bukovica;BRLAS;KOMAR;KOVAČ;POSAVAC;BARTOLIĆ;MAJSTOROVIĆ;LULIĆ;KOVAČEVIĆ;MIKOLČIĆ;NOVOSEL
Virovitičko-podravska;Općina;Voćin;JOZIĆ;JAKOVIĆ;PERIĆ;TUNIĆ;GEGIĆ;ĐORĐEVIĆ;TAŠIĆ;SIMONOVIĆ;NIKOLIĆ;ČOVIĆ
Virovitičko-podravska;Općina;Zdenci;ČIŠ;BUŠLJETA;BIRO;ŠKORVAGA;BOŠNJAK;NEKIĆ;KOVAČIĆ;PANCER;ŠPOLJARIĆ;ŠORMAN
Požeško-slavonska; ;;GRGIĆ;KOVAČEVIĆ;MARIĆ;MARKOVIĆ;BOŠNJAK;TOMIĆ;SOLDO;BLAŽEVIĆ;PAVIĆ;VIDOVIĆ
Požeško-slavonska;Grad;Kutjevo;MARKOVIĆ;BARIĆ;GRGIĆ;BUDIMIR;GALIĆ;MARIĆ;KLJAJIĆ;BOŠNJAK;VASILJ;ANTUNOVIĆ
