13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ime županije;Grad ili općina;"Ime grada ili
općine";Najčešća prezimena 1);;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10
Zagrebačka;Općina;Preseka;BREZJAN;LEŠČIĆ;MUŠAK;CUZELJ;GORIČAN;KRESAJ;KUŠIĆ;LELJAK;FERENČAK;SOBOTA
Zagrebačka;Općina;Pušća;VUGEC;BERNARDIĆ;STANIŠAK;FILKOVIĆ;MIHOK;HORVAT;PINTAR;HRUŠEVAR;MIHALINEC;GORUPEC
Zagrebačka;Općina;Rakovec;PRELEC;PAJUR;ČOLIG;BENC;KLEMEŠ;DOBRICA;GAŠPARIĆ;BERTEČIĆ;VIDAK;JAKOPIC
Zagrebačka;Općina;Rugvica;MARIĆ;JURIĆ;ANTUNOVIĆ;NIKOLIĆ;HORVAT;MRŠIĆ;PAVIĆ;ANUŠIĆ;KOLAR;MAJIĆ
Zagrebačka;Općina;Stupnik;BOŽIĆ;HORVATINEC;MEGLAJEC;JAMBREK;CRNEČKI;HORVAT;TRDAK;KONJUŠIĆ;JAPJEC;ŽUŽIĆ
Zagrebačka;Općina;Žumberak;ŠINKOVIĆ;BUČAR;VLAŠIĆ;DEANOVIĆ;GRDOŠIĆ;VUKOVIĆ;MORDUŠ;BERNARDIĆ;FERENČIĆ;LATKOVIĆ
Krapinsko-zagorska; ;;HORVAT;HRŠAK;SINKOVIĆ;KRALJ;HERCEG;BELOŠEVIĆ;NOVOSEL;PAVIĆ;LELJAK;KUNŠTEK
Krapinsko-zagorska;Grad;Donja Stubica;HREN;MIRT;JAGARČEC;ŠTEFEK;MARTINIĆ;DREMPETIĆ;HORVAT;ŽUKINA;GLAVAČ;LANDRIPET
Krapinsko-zagorska;Grad;Klanjec;HARAPIN;PETEK;HORVAT;VLAHOVIĆ;GAŠPAR;POSLEK;SOMEK;HORVATIN;LEŠ;RICIJAŠ
Krapinsko-zagorska;Grad;Krapina;HORVAT;HRŠAK;GOLUB;LELJAK;GREGUROVIĆ;VIDOVIĆ;KUNŠTEK;PULJEK;KOZINA;KANTOLIĆ
Krapinsko-zagorska;Grad;Oroslavje;JAGEČIĆ;GREDIČAK;GRABUŠIĆ;ČIČKO;KRALJ;NOVOSEL;CURMAN;KNEZIĆ;KRALJIĆ;OREMUŠ
Krapinsko-zagorska;Grad;Pregrada;HORVAT;BURIĆ;LESKOVAR;HRESTAK;FILIPČIĆ;KRSNIK;VEŠLIGAJ;GRILEC;DRENŠKI;HLUPIĆ
Krapinsko-zagorska;Grad;Zabok;HRASTINSKI;TUĐA;SINKOVIĆ;GREGURIĆ;TISANIĆ;KRZNAR;KOLAR;VRANČIĆ;MARTINIĆ;KRAJAČIĆ
Krapinsko-zagorska;Grad;Zlatar;HANŽEK;BINGULA;VARGA;PUKLIN;POSARIĆ;KURTANJEK;ŠKOF;HITREC;SVIBEN;BRČIĆ
Krapinsko-zagorska;Općina;Bedekovčina;NOVOSEL;JAKUŠ;ČEHULIĆ;PAVETIĆ;BAN;GORIČKI;MUTAK;TENŠEK;VIDEK;FRANC
Krapinsko-zagorska;Općina;Budinščina;MIKULČIĆ;RIČKO;MEŠNJAK;HRUŠKAR;FULIR;LUSAVEC;VALJAK;VERTUŠ;ZAJEC;ŽABČIĆ
